"region","year","organizations","legaladdress","address"
"Республика Башкортостан","2022 год","Государственное бюджетное общеобразовательное учреждение Уфимская коррекционная школа-интернат для глухих обучающихся","450050, Республика Башкортостан, г. Уфа, ул. Мусоргского, д. 2","450050, Республика Башкортостан, г. Уфа, ул. Мусоргского, д. 2"
"Республика Башкортостан","2023 год","Государственное бюджетное общеобразовательное учреждение Илишевская коррекционная школа-интернат для обучающихся с ограниченными возможностями здоровья","452260, Республика Башкортостан, район Илишевский, с. Верхнеяркеево, ул. Советская, 46","452260, Республика Башкортостан, район Илишевский, с. Верхнеяркеево, ул. Советская, 46"
"Республика Башкортостан","2023 год","Государственное бюджетное общеобразовательное учреждение Ишимбайская коррекционная школа № 7 для обучающихся с ограниченными возможностями здоровья","453200, Республика Башкортостан, район Ишимбайский, г. Ишимбай, ул. Революционная, д. 12 А","453200, Республика Башкортостан, район Ишимбайский, г. Ишимбай, ул. Революционная, д. 12 А"
"Республика Башкортостан","2023 год","Государственное бюджетное общеобразовательное учреждение Сибайская коррекционная школа для обучающихся с ограниченными возможностями здоровья","453833, Республики Башкортостан, г. Сибай, пер. Торговый, д. 9","453833, Республики Башкортостан, г. Сибай, пер. Торговый, д. 9"
"Республика Бурятия","2020 год","Государственное бюджетное общеобразовательное учреждение «Специальная (коррекционная) общеобразовательная школа № 3VIII вида»","670002, Республика Бурятия, г. Улан-Удэ, ул. Буйко, д. 25","670002, Республика Бурятия, г. Улан-Удэ, ул. Буйко, д. 25"
"Республика Бурятия","2020 год","Государственное бюджетное общеобразовательное учреждение «Селенгинская специальная (коррекционная) общеобразовательная школа-интернат»","671247, Республика Бурятия, район Кабанский, пгт. Селенгинск, мкрн. Солнечный, д. 39","671247, Республика Бурятия, район Кабанский, пгт. Селенгинск, мкрн. Солнечный, д. 39"
"Республика Бурятия","2021 год","Государственное бюджетное общеобразовательное учреждение «Иройская специальная (коррекционная) общеобразовательная школа-интернат»","671196, Республика Бурятия, район Селенгинский, улус Усть-Урма, ул. Школьная, 1","671196, Республика Бурятия, район Селенгинский, улус Усть-Урма, ул. Школьная, 1"
"Республика Бурятия","2021 год","Государственное бюджетное общеобразовательное учреждение «Новобрянская специальная (коррекционная) общеобразовательная школа-интернат»","671325, Республика Бурятия, район Заиграевский, с. Новая Брянь, ул. Школьная, 5","671325, Республика Бурятия, район Заиграевский, с. Новая Брянь, ул. Школьная, 5"
"Республика Бурятия","2022 год","Государственное бюджетное общеобразовательное учреждение «Закаменская специальная (коррекционная) общеобразовательная школа-интернат»","671950, Республика Бурятия, район Закаменский, г. Закаменск, ул. Ленина, 41","671950, Республика Бурятия, район Закаменский, г. Закаменск, ул. Ленина, 41"
"Республика Дагестан","2020 год","Государственное казенное общеобразовательное учреждение Республики Дагестан «Республиканская специальная (коррекционная) школа-интернат VIII вида»","368780, Республика Дагестан, район Магарамкентский, с. Магарамкент, ул. Комсомольская","368780, Республика Дагестан, район Магарамкентский, с. Магарамкент, ул. Комсомольская, д. 1"
"Республика Дагестан","2020 год","Государственное казенное общеобразовательное учреждение Республики Дагестан «Карабудахкентская специальная (коррекционная) общеобразовательная школа-интернат»","368530, Республика Дагестан, район Карабудахкентский, с. Карабудахкент, ул. Г.Абдуллаева, 12","368530, Республика Дагестан, район Карабудахкентский, с. Карабудахкент, ул. Г.Абдуллаева, 12"
"Республика Дагестан","2021 год","Муниципальное казенное общеобразовательное учреждение «Специальная (коррекционная) общеобразовательная школа-интернат I вида»","367033, Республика Дагестан, г. Махачкала, пгт. Ленинкент","367033, Республика Дагестан, г. Махачкала, пгт. Ленинкент"
"Республика Дагестан","2021 год","Муниципальное казенное общеобразовательное учреждение «Специальная (коррекционная) общеобразовательная школа-интернат IV вида»","367018, Республика Дагестан, г. Махачкала, ул. Лаптиева, д. 59, стр. А","367018, Республика Дагестан, г. Махачкала, ул. Лаптиева, д. 59, стр. А"
"Республика Дагестан","2022 год","Муниципальное казенное общеобразовательное учреждение «Аксаевская специальная (коррекционная) общеобразовательная школа-интернат» VIII вида","368031, Республика Дагестан, район Хасавюртовский, с. Аксай","368031, Республика Дагестан, район Хасавюртовский, с. Аксай"
"Республика Дагестан","2022 год","Муниципальное бюджетное общеобразовательное учреждение, реализующее адаптированные основные общеобразовательные программы «Школа-интернат № 7»","368608, Республика Дагестан, г. Дербент, ул. 3 Интернационала, 1","368608, Республика Дагестан, г. Дербент, ул. 3 Интернационала, 1"
"Кабардино-Балкарская Республика","2020 год","Государственное бюджетное общеобразовательное учреждение «Специальная (коррекционная) школа-интернат № 3» Министерства просвещения, науки и по делам молодежи Кабардино-Балкарской Республики","361041, Кабардино-Балкарская Республика, г. Прохладный, ул. Мичурина, 33","361041, Кабардино-Балкарская Республика, г. Прохладный, ул. Мичурина, 33"
"Кабардино-Балкарская Республика","2021 год","Государственное бюджетное общеобразовательное учреждение «Школа-интернат для детей-сирот и детей, оставшихся без попечения родителей, № 5» Министерства просвещения, науки и по делам молодежи Кабардино-Балкарской Республики","361411, Кабардино-Балкарская Республика, район Чегемский, с. Нартан, ул. Ленина, 100","361523, Кабардино-Балкарская Республика, район Баксанский, с. Заюково, ул. Дикинова, д. 5"
"Кабардино-Балкарская Республика","2021 год","Государственное бюджетное общеобразовательное учреждение «Специальная (коррекционная) школа-интернат № 2» Министерства просвещения, науки и по делам молодежи Кабардино-Балкарской Республики","361014, Кабардино-Балкарская Республика, район Прохладненский, ст. Приближная, пер. Кооперативный, 6","361014, Кабардино-Балкарская Республика, район Прохладненский, ст. Приближная, пер. Кооперативный, 6"
"Кабардино-Балкарская Республика","2022 год","Государственное бюджетное общеобразовательное учреждение «Школа-интернат № 1» Министерства просвещения, науки и по делам молодежи Кабардино-Балкарской Республики","360002, Кабардино-Балкарская Республика, г. Нальчик, ул. Вовчок, д. б/н","360002, Кабардино-Балкарская Республика, г. Нальчик, ул. Вовчок, д. б/н"
" Республика Калмыкия","2020 год","Казенное общеобразовательное учреждение Республики Калмыкия «Элистинская коррекционная школа-интернат»","358000, Республика Калмыкия, г. Элиста, ул. им. Леваневского, 18","358000, Республика Калмыкия, г. Элиста, ул. им. Леваневского, 18"
" Республика Калмыкия","2021 год","Казенное общеобразовательное учреждение Республики Калмыкия «Лаганская коррекционная школа-интернат»","359220, Республика Калмыкия, район Лаганский, г. Лагань, ул. Канукова, 44 «А»","359220, Республика Калмыкия, район Лаганский, г. Лагань, ул. Канукова, 44 «А»"
" Республика Калмыкия","2021 год","Казенное общеобразовательное учреждение Республики Калмыкия «Сарпинская коррекционная школа-интернат»","359410, Республика Калмыкия, район Сарпинский, с. Садовое, ул. Юбилейная, 36","359410, Республика Калмыкия, район Сарпинский, с. Садовое, ул. Юбилейная, 36"
"Карачаево-Черкесская Республика","2020 год","Республиканское государственное казенное общеобразовательное учреждение «Специальная (коррекционная) общеобразовательная школа-интернат 1 вида»","369001, Карачаево-Черкесская Республика, г. Черкесск, ул. Ставропольская, д. 51","369001, Карачаево-Черкесская Республика, г. Черкесск, ул. Ставропольская, д. 51"
"Республика Карелия","2020 год","Государственное бюджетное общеобразовательное учреждение Республики Карелия «Специальная (коррекционная) общеобразовательная школа-интернат № 18»","186326, Республика Карелия, Медвежьегорский район, пгт. Повенец, ул. Пролетарская, д. 2 А","186326, Республика Карелия, Медвежьегорский район, пгт. Повенец, ул. Пролетарская, д. 2 А"
"Республика Карелия","2020 год","Государственное бюджетное общеобразовательное учреждение Республики Карелия «Специальная (коррекционная) общеобразовательная школа-интернат № 21»","185011, Республика Карелия, г. Петрозаводск, ул. Щербакова (Кукковка р-н), д. 21","185011, Республика Карелия, г. Петрозаводск, ул. Щербакова (Кукковка р-н), д. 21"
"Республика Коми","2020 год","Государственное общеобразовательное учреждение Республики Коми «Специальная (коррекционная) школа-интернат № 1» г. Емвы","169200, Республика Коми, район Княжпогостский, г. Емва, ул. Совхозная, д. 33","169200, Республика Коми, район Княжпогостский, г. Емва, ул. Совхозная, д. 33"
"Республика Коми","2021 год","Государственное общеобразовательное учреждение Республики Коми «Специальная (коррекционная) школа-интернат № 11» д. Горьковская","168106, Республика Коми, район Сысольский, д. Горьковская, 86","168106, Республика Коми, район Сысольский, д. Горьковская, 86"
"Республика Коми","2021 год","Государственное общеобразовательное учреждение Республики Коми «Специальная (коррекционная) школа № 43» г. Инты","169840, Республика Коми, г. Инта, ул. Мира, 14","169840, Республика Коми, г. Инта, ул. Мира, 14"
"Республика Коми","2022 год","Государственное общеобразовательное учреждение Республики Коми «Специальная (коррекционная) школа-интернат № 10» пст. Аджером","168041, Республика Коми, район Корткеросский, пос. Аджером, ул. Школьная, д. 37","168041, Республика Коми, район Корткеросский, пос. Аджером, ул. Школьная, д. 37"
"Республика Коми","2022 год","Государственное общеобразовательное учреждение Республики Коми «Специальная (коррекционная) школа-интернат № 9» с. Ижма","169460, Республика Коми, район Ижемский, с. Ижма, ул. Больничный городок, 20","169460, Республика Коми, район Ижемский, с. Ижма, ул. Больничный городок, 20"
"Республика Коми","2022 год","Государственное общеобразовательное учреждение Республики Коми «Специальная (коррекционная) школа-интернат № 5» г. Сосногорска","169500, Республика Коми, г. Сосногорск, ул. Пушкина, 9","169500, Республика Коми, г. Сосногорск, ул. Пушкина, 9"
"Республика Коми","2023 год","Государственное общеобразовательное учреждение Республики Коми «Специальная (коррекционная) школа-интернат № 2» с. Усть-Кулом","168060, Республика Коми, район Усть-Куломский, с. Усть-Кулом, ул. Советская, 59","168060, Республика Коми, район Усть-Куломский, с. Усть-Кулом, ул. Советская, 59"
"Республика Коми","2023 год","Государственное общеобразовательное учреждение Республики Коми «Специальная (коррекционная) школа № 45» г. Ухты","169314, Республика Коми, г. Ухта, ул. Бушуева, 2","169314, Республика Коми, г. Ухта, ул. Бушуева, 2"
"Республика Коми","2023 год","Государственное общеобразовательное учреждение Республики Коми «Специальная (коррекционная) школа-интернат № 14» с. Усть-Цильма","169480, Республика Коми, район Усть-Цилемский, с. Усть-Цильма, ул. Комсомольская, 30","169480, Республика Коми, район Усть-Цилемский, с. Усть-Цильма, ул. Комсомольская, 30"
"Республика Крым","2020 год","Государственное бюджетное общеобразовательное учреждение Республики Крым «Чеботарская специальная школа-интернат»","296584, Республика Крым, район Сакский, с. Чеботарка, ул. Школьная, д. 13","296584, Республика Крым, район Сакский, с. Чеботарка, ул. Школьная, д. 13"
"Республика Крым","2020 год","Государственное бюджетное общеобразовательное учреждение Республики Крым «Лозовская специальная школа-интернат»","297576, Республика Крым, район Симферопольский, с. Ферсманово, ул. Учительская","297576, Республика Крым, район Симферопольский, с. Ферсманово, ул. Учительская"
"Республика Крым","2021 год","Государственное бюджетное общеобразовательное учреждение Республики Крым «Феодосийская специальная школа-интернат»","298100, Республика Крым, г. Феодосия, ул. Революционная, д. 6, 8","298100, Республика Крым, г. Феодосия, ул. Революционная, д. 6, 8"
"Республика Крым","2022 год","Государственное бюджетное общеобразовательное учреждение Республики Крым «Керченская специальная школа-интернат»","298327, Республика Крым, г. Керчь, ул. Чкалова, д. 11","298327, Республика Крым, г. Керчь, ул. Чкалова, д. 11 298327, Республика Крым, г. Керчь, ул. Крупской, д. 14"
"Республика Крым","2022 год","Муниципальное бюджетное общеобразовательное учреждение «Ялтинская специальная (коррекционная) школа» муниципального образования городской округ Ялта Республики Крым","298600, Республика Крым, г. Ялта, ул. Манагарова, д. 2","298600, Республика Крым, г. Ялта, ул. Манагарова, д. 2"
"Республика Крым","2022 год","Муниципальное бюджетное общеобразовательное учреждение «Специальная коррекционная школа № 5» города Армянска Республики Крым","296012, Республика Крым, г. Армянск, ул. Гайдара, д. 3-А","296012, Республика Крым, г. Армянск, ул. Гайдара, д. 3-А"
"Республика Крым","2023 год","Государственное бюджетное общеобразовательное учреждение Республики Крым «Бахчисарайская специальная школа-интернат»","298405, Республика Крым, район Бахчисарайский, г. Бахчисарай, ул. Басенко, д. 39","298405, Республика Крым, район Бахчисарайский, г. Бахчисарай, ул. Басенко, д. 39"
"Республика Крым","2023 год","Государственное бюджетное общеобразовательное учреждение Республики Крым «Симферопольская специальная школа-интернат № 2»","295006, Республика Крым, г. Симферополь, ул. Федько, д. 4/29","295006, Республика Крым, г. Симферополь, ул. Федько, д. 4/29"
"Республика Марий Эл","2020 год","Государственное бюджетное общеобразовательное учреждение Республики Марий Эл «Козьмодемьянская школа-интернат»","425350, Республика Марий Эл, г. Козьмодемьянск, ул. Чернышевского, 37","425350, Республика Марий Эл, г. Козьмодемьянск, ул. Чернышевского, 37"
"Республика Марий Эл","2021 год","Государственное бюджетное общеобразовательное учреждение Республики Марий Эл «Косолаповская школа-интернат»","425531, Республика Марий Эл, район Мари-Турекский, с. Косолапово, ул. Советская, 50","425531, Республика Марий Эл, район Мари-Турекский, с. Косолапово, ул. Советская, 50 425531, Республика Марий Эл, район Мари-Турекский, с. Косолапово, ул. Советская, 48"
"Республика Марий Эл","2021 год","Государственное бюджетное общеобразовательное учреждение Республики Марий Эл «Нартасская школа-интернат»","425513, Республика Марий Эл, район Мари-Турекский, пос. Нартас, ул. Комсомольская, д. 6","425513, Республика Марий Эл, район Мари-Турекский, пос. Нартас, ул. Комсомольская, д. 6"
"Республика Марий Эл","2022 год","Государственное бюджетное общеобразовательное учреждение Республики Марий Эл «Русскошойская школа-интернат»","425569, Республика Марий Эл, район Куженерский, с. Русские Шои, ул. Дружбы, 9","425569, Республика Марий Эл, район Куженерский, с. Русские Шои, ул. Дружбы, 9"
"Республика Марий Эл","2022 год","Государственное бюджетное общеобразовательное учреждение Республики Марий Эл «Савинская школа-интернат»","424918, Республика Марий Эл, г. Йошкар-Ола, д. Савино, ул. Школьная, 9","424918, Республика Марий Эл, г. Йошкар-Ола, д. Савино, ул. Школьная, 9"
"Республика Мордовия","2020 год","Государственное бюджетное общеобразовательное учреждение Республики Мордовия «Саранская общеобразовательная школа для детей с ограниченными возможностями здоровья»","430023, Республика Мордовия, г. Саранск, просп. 60 лет Октября, 111","430023, Республика Мордовия, г. Саранск, просп. 60 лет Октября, 111"
"Республика Мордовия","2021 год","Государственное казенное общеобразовательное учреждение Республики Мордовия «Саранская общеобразовательная школа-интернат для детей с нарушениями слуха»","430032, Республика Мордовия, г. Саранск, просп. 50 лет Октября, 32","430032, Республика Мордовия, г. Саранск, просп. 50 лет Октября, 32"
"Республика Мордовия","2021 год","Государственное казенное общеобразовательное учреждение Республики Мордовия «Поводимовская общеобразовательная школа-интернат для детей с ограниченными возможностями здоровья»","431774, Республика Мордовия, район Дубенский, с. Поводимово, ул. Набережная, 15","431774, Республика Мордовия, район Дубенский, с. Поводимово, ул. Набережная, 15"
"Республика Саха (Якутия)","2020 год","Государственное казенное общеобразовательное учреждение Республики Саха (Якутия) «Республиканская специальная (коррекционная) школа-интернат для детей-сирот и детей, оставшихся без попечения родителей»","677008, Республика Саха (Якутия), г. Якутск ш. Сергеляхское 10 км","677008, Республика Саха (Якутия), г. Якутск ш. Сергеляхское 10 км, д. 11."
"Республика Саха (Якутия)","2020 год","Государственное казенное общеобразовательное учреждение Республики Саха (Якутия) «Республиканская специальная (коррекционная) школа-интернат»","677008, Республика Саха (Якутия), г. Якутск, тракт Вилюйский 3 км, 47","677008, Республика Саха (Якутия), г. Якутск, тракт Вилюйский 3 км, 47"
"Республика Саха (Якутия)","2021 год","Государственное казенное общеобразовательное учреждение Республики Саха (Якутия) «Республиканская специальная (коррекционная) школа-интернат для обучающихся с тяжелыми нарушениями речи»","677007, Республика Саха (Якутия), г. Якутск, ш. Покровское 10 км","677007, Республика Саха (Якутия), г. Якутск, ш. Покровское 10 км "
"Республика Саха (Якутия)","2021 год","Государственное казенное общеобразовательное учреждение Республики Саха (Якутия) «Республиканская специальная (коррекционная) школа-интернат для неслышащих обучающихся»","677014, Республика Саха (Якутия), г. Якутск, ул. Кузьмина, 36","677014, Республика Саха (Якутия), г. Якутск, ул. Кузьмина, 36"
"Республика Саха (Якутия)","2022 год","Муниципальное общеобразовательное казенное учреждение «Специальная (коррекционная) общеобразовательная школа-интернат № 34» городского округа «город Якутск»","677008, Республика Саха (Якутия), г. Якутск, ш. Сергеляхское 12 км, д. 13","677008, Республика Саха (Якутия), г. Якутск, ш. Сергеляхское 12 км, д. 13 677008, Республика Саха (Якутия), г. Якутск, ул. Билибина, 14"
"Республика Саха (Якутия)","2022 год","Муниципальное общеобразовательное казенное учреждение «Специальная (коррекционная) основная общеобразовательная школа № 22 (VII вида)» городского округа «город Якутск»","677000, Республика Саха (Якутия), г. Якутск, ул. Рыдзинского, 5","677000, Республика Саха (Якутия), г. Якутск, ул. Рыдзинского, 5"
"Республика Саха (Якутия)","2023 год","Муниципальное общеобразовательное казенное учреждение «Специальная (коррекционная) общеобразовательная школа № 4» городского округа «город Якутск»","677000, Республика Саха (Якутия), г. Якутск, ул. Чайковского, 113","677000, Республика Саха (Якутия), г. Якутск, ул. Чайковского, 113"
"Республика Саха (Якутия)","2023 год","Муниципальное общеобразовательное казенное учреждение «Адаптивная школа-интернат № 28 для детей-сирот и детей, оставшихся без попечения родителей» городского округа «город Якутск»","677000, Республика Саха (Якутия) г. Якутск, ул. Якутская, 37","677000, Республика Саха (Якутия) г. Якутск, ул. Якутская, 37"
"Республика Саха (Якутия)","2023 год","Муниципальное казенное общеобразовательное учреждение «Елечейская специальная (коррекционная) общеобразовательная школа-интернат» муниципального района «Мегино-Кангаласский улус»","678074, Республика Саха (Якутия), улус Мегино-Кангаласский, с. Елечей, ул. Чапаева, 24","678074, Республика Саха (Якутия), улус Мегино-Кангаласский, с. Елечей, ул. Чапаева, 24"
"Республика Саха (Якутия)","2023 год","Муниципальная казенная общеобразовательная организация «Орто-Эбэнская специальная (коррекционная) школа-интернат для обучающихся, воспитанников с ограниченными возможностями здоровья» муниципального района «Усть-Алданский улус (район)» Республики Саха (Якутия)","678373, Республика Саха (Якутия), улус Усть-Алданский, с. Арылах, ул. Говорова Афанасия Михайловича, д. 14","678373, Республика Саха (Якутия), улус Усть-Алданский, с. Арылах, ул. Говорова Афанасия Михайловича, д. 14"
"Республика Саха (Якутия)","2023 год","Муниципальная казенная общеобразовательная организация «Тыарасинская специальная (коррекционная) школа-интернат» муниципального района «Таттинский улус» Республики Саха (Якутия)","678659, Республика Саха (Якутия), улус Таттинский, с. Кыйы, ул. Турнина М.Н, 18","678659, Республика Саха (Якутия), улус Таттинский, с. Кыйы, ул. Турнина М.Н, 18"
"Республика Саха (Якутия)","2024 год","Муниципальное казенное общеобразовательное учреждение «Амгинская специальная (коррекционная) общеобразовательная школа-интернат VIII вида»","678600, Республика Саха (Якутия), улус Амгинский, с. Амга, ул. Короленко, 26","678600, Республика Саха (Якутия), улус Амгинский, с. Амга, ул. Короленко, 26"
"Республика Саха (Якутия)","2024 год","Муниципальное казенное общеобразовательное учреждение «Специальная (коррекционная) общеобразовательная школа-интернат VIII вида п. Нижний Куранах» МО «Алданский район»","678940, Республика Саха (Якутия), улус Алданский, пос. Нижний Куранах, ул. Строительная, 11","678940, Республика Саха (Якутия), улус Алданский, пос. Нижний Куранах, ул. Строительная, 11"
"Республика Саха (Якутия)","2024 год","Муниципальное общеобразовательное учреждение «Специальная (коррекционная) школа-интернат» города Нерюнги","678960, Республика Саха (Якутия), г. Нерюнгри, ул. Южно-Якутская, 8","678960, Республика Саха (Якутия), г. Нерюнгри, ул. Южно-Якутская, 8"
"Республика Северная Осетия – Алания","2020 год","Государственное бюджетное общеобразовательное учреждение «Специальная (коррекционная) общеобразовательная школа-интернат г. Моздок»","363750, Республика Северная Осетия-Алания, район Моздокский, г. Моздок, ул. Кирова, д. 29","363750, Республика Северная Осетия-Алания, район Моздокский, г. Моздок, ул. Кирова, д. 29"
"Республика Северная Осетия – Алания","2021 год","Государственное бюджетное общеобразовательное учреждение «Специальная (коррекционная) общеобразовательная школа-интернат для детей-сирот и детей, оставшихся без попечения родителей, «Надежда»","363403, Республика Северная Осетия-Алания, район Дигорский, с. Дур-Дур, ул. Дзотова, 100","363403, Республика Северная Осетия-Алания, район Дигорский, с. Дур-Дур, ул. Дзотова, 100"
"Республика Татарстан (Татарстан)","2020 год","Государственное бюджетное общеобразовательное учреждение «Казанская школа № 61 для детей с ограниченными возможностями здоровья»","420044, Республика Татарстан, г. Казань, ул. Енисейская, 5","420044, Республика Татарстан, г. Казань, ул. Енисейская, 5"
"Республика Татарстан (Татарстан)","2020 год","Государственное бюджетное общеобразовательное учреждение «Казанская школа № 142 для детей с ограниченными возможностями здоровья»","420029, Республика Татарстан, г. Казань, ул. Александра Попова, 17","420029, Республика Татарстан, г. Казань, ул. Александра Попова, 17"
