"stringnumber","shortname","fullname","site","edudirection","eduprogram","federaldistrict","regoin","legaladdress","submission","headname","phone","email","briefinformation","regnumber","taxpayernumber","regcode"
"11","Технопарк "Кванториум"","ГБОУ Детская академия творчества «Солнечный город»","http://solnechnyjgorodkbr.ru/%D0%BA%D0%B2%D0%B0%D0%BD%D1%82%D0%BE%D1%80%D0%B8%D1%83%D0%BC/","IT-квантум  Космоквантум  Наноквантум  Робоквантум  Энерджиквантум","робототехника  информатика  изучение передовых технологий в области электроники  мехатроники и программирования  конструирование и программирование роботов  проектирование  изготовление и отлаживание электронных устройств  создание сложных устройств с использованием транзисторов и микроконтроллеров  геоинформатика  прикладная космонавтика и проектирование космических и летательных аппаратов  нейротехнологии  нанотехнологии  альтернативная энергетика  дополненная и виртуальная реальность","Северо=Кавказский","Кабардино-Балкарская республика","ул. 2-й Таманской Дивизии  г.о. Нальчик  Кабардино-Балкарская респ.  360032","Министерство образования  науки и по делам молодёжи Кабардино-Балкарской Республики","Елдышев Андрей Николаевич","8 (8662) 73-53-45  8 (8662) 73-52-43","SunnyCity07@gmail.com","Особое внимание уделили созданию условий для детей с ограниченными возможностями. Пандусы есть  есть специальные комнаты обслуживающие. А комнаты сделаны сами так  что там можно будет заезжать. Подготовлены даже коляски внутри  если надо пересаживать и передвигаться по самому зданию","1160726050803","726015007","72601001"
"12","Технопарк "Кванториум"","ГБУ ДО "Республиканский центр детского (юношеского) технического творчества"","http://rctt.dod95.ru/uo/main.html","IT-Квантум  ГеоКвантум  ЭнерджиКвантум  АэроКвантум  РобоКвантум","робототехника  информатика  изучение передовых технологий в области электроники  мехатроники и программирования  конструирование и программирование роботов  проектирование  изготовление и отлаживание электронных устройств  создание сложных устройств с использованием транзисторов и микроконтроллеров  геоинформатика  прикладная космонавтика и проектирование космических и летательных аппаратов  нейротехнологии  нанотехнологии  альтернативная энергетика  дополненная и виртуальная реальность","Северо=Кавказский","Чеченская республика"," Грозный  ул. Жуковского  10","МИНИСТЕРСТВО ОБРАЗОВАНИЯ И НАУКИ ЧЕЧЕНСКОЙ РЕСПУБЛИКИ ","Ахъядов Абдул Бек-Магомедович","8 (928) 949-09-99 ","rcdutt-metod@mail.ru","Созлан на базе Республиканского центра детского (юношеского) технического творчества","1092031004086","2015044692","201501001"
"13","Кванториум 13","Структурное подразделение Государственной бюджетной организации дополнительного образования Республики Мордовия «Республиканский Центр дополнительного образования детей»","http://kvantorium13.ru/","Аэроквантум  Робоквантум  Биоквантум  Энерджиквантум  IT-квантум  Лазерквантум Хайтек цех","Робототехника  3D моделирование и прототипирование  Начальное техническое моделирование  Инжиниринг и изобретательская деятельность  Научно-исследовательская деятельность","Приволжский","Республика Мордовия","430032   Республика Мордовия  г. Саранск  ул. 1-я Набережная  дом 27","МИНИСТЕРСТВО ОБРАЗОВАНИЯ РЕСПУБЛИКИ МОРДОВИЯ","Уткина О. А.","8 (8342) 35-13-75","kvantorium13 @ gmail.com","Образовательная программа  рассчитанная на 2 года  направлена на то  чтобы научить ребенка не бояться реализовывать глобальные проекты.","1021300979083","1326176724","132601001"
"14","Технопарк "Кванториум"","АНО ДО ЦКР Детский Технопарк "Кванториум" (Ульяновск) ","http://xn--b1aqbiftj7e1a.xn--80ajqkfgik2a.xn--d1acj3b/%D0%BE-%D1%82%D0%B5%D1%85%D0%BD%D0%BE%D0%BF%D0%B0%D1%80%D0%BA%D0%B5","робоквантум  ИТ-квантум  аэроквантум  наноквантум  биоквантум","робототехника  информатика  изучение передовых технологий в области электроники  мехатроники и программирования  конструирование и программирование роботов  проектирование  изготовление и отлаживание электронных устройств  создание сложных устройств с использованием транзисторов и микроконтроллеров  геоинформатика  прикладная космонавтика и проектирование космических и летательных аппаратов  нейротехнологии  нанотехнологии  альтернативная энергетика  дополненная и виртуальная реальность","Приволжский","Ульяновская область","432067  Ульяновск  Туполева проспект  7"," МИНИСТЕРСТВО ПРОМЫШЛЕННОСТИ И ТРАНСПОРТА УЛЬЯНОВСКОЙ ОБЛАСТИ ","Павлов В.В.","8 (8422)30-29-00","kvantorium73@gmail.com","Планируемый охват обучающихся по бесплатным дополнительным общеобразовательным программам  — 1050 человек в год.","1107300001203","7327057375","732501001"
"15","Детский технопарк "Кванториум"","МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ "ДВОРЕЦ ДЕТСКОГО (ЮНОШЕСКОГО) ТВОРЧЕСТВА" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА ЧЕБОКСАРЫ","http://www.chebddut.ru/kompleks/kvantorium/index.html","робоквантум  ИТ-квантум  аэроквантум  наноквантум  биоквантум","в области электроники  мехатроники и прикладного программирования  формирование навыков конструирования моделей роботов  проектирования современных систем управления мобильными роботами  биотехнология  микробиология","Приволжский","Чувашская республика","428000 г. Чебоксары  Президентский бульвар  д.14.","УПРАВЛЕНИЕ ОБРАЗОВАНИЯ АДМИНИСТРАЦИИ ГОРОДА ЧЕБОКСАРЫ ","Петрова Г.А.","8 (8352) 62-39-02","ddut-kvant@mail.ru","","1022101136155","2128024030","213001001"
"16","Детский технопарк "Кванториум"","Детский технопарк «Кванториум»   г. Альметьевск","https://www.almetkvantorium.com/","IT-квантум  промышленный дизайн  робоквантум   нейроквантум  наноквантум","робототехника  информатика  изучение передовых технологий в области электроники  мехатроники и программирования  конструирование и программирование роботов  проектирование  изготовление и отлаживание электронных устройств  создание сложных устройств с использованием транзисторов и микроконтроллеров  геоинформатика  прикладная космонавтика и проектирование космических и летательных аппаратов  нейротехнологии  нанотехнологии  альтернативная энергетика  дополненная и виртуальная реальность","Приволжский","Республика Татарстан","423450  г. Альметьевск  Тимирязева  20","","Закиров Рамиль Замирович","8 (855) 338-68-98","","один из самых больших кванториумов России -общая площадь 2500 кв. метров","","",""
"17","Детский технопарк "Кванториум"","МАУ ДО Центр детского (юношеского) технического творчества Нижнекамского муниципального района Республики Татарстан","https://vk.com/kvantnk"," Наноквант  Нейроквант  Геоквант  Робоквант  Энерджиквант  Hi-Tech  Промдизайн.","робототехника  информатика  изучение передовых технологий в области электроники  мехатроники и программирования  конструирование и программирование роботов  проектирование  изготовление и отлаживание электронных устройств  создание сложных устройств с использованием транзисторов и микроконтроллеров  геоинформатика  прикладная космонавтика и проектирование космических и летательных аппаратов  нейротехнологии  нанотехнологии  альтернативная энергетика  дополненная и виртуальная реальность","Приволжский","Республика Татарстан","Ахтубинская ул.  4  Нижнекамск  Респ. Татарстан  423575","ИСПОЛНИТЕЛЬНЫЙ КОМИТЕТ НИЖНЕКАМСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ ТАТАРСТАН ","Кирпичонок М. А.","42-80-14"," cttnk@mail.ru","на базе Нефтехимического инжинирингового центра КНИТУ ","1021602511490","1651030102","165101001"
"18","Детский технопарк "Кванториум"","Детский технопарк "Кванториум"","http://kvantorium.ru/tehnopark/kvantorium/","наноквантум  космоквантум  нейроквантум  геоквантум  авиаквантум  автоквантум  робоквантум  электроника","физико-математических основ космонавтики  электротехники  радиотехники  электроники и фотоники  конструирование малых искусственных спутников Земли  лазерной технологии  изучение малой беспилотной авиации  изучение передовых технологий в области электроники  мехатроники и программирования  конструирование и программирование роботов  проектирование  изготовление и отлаживание электронных устройств  создание сложных устройств с использованием транзисторов и микроконтроллеров  работа с дистанционным зондированием Земли  обучение картографии и проектированию виртуальных карт местности","Приволжский","Республика Татарстан","Машиностроительная ул.  91-а  Набережные Челны  Респ. Татарстан  423824"," ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "КАМАЗ"   ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ "ТЕХНОПАРК В СФЕРЕ ВЫСОКИХ ТЕХНОЛОГИЙ "ИТ-ПАРК" ","Фукина Ю.К.","8 (8552) 409-180","","На постоянной основе обучается 460 школьников 5 - 11 классов города Набережные Челны. Ежегодно в рамках мастер классов и экскурсий образовательными программами Кванториума охвачены 1700 детей.","1161690061664","1650324050","165001001"
"19","Детский технопарк "Кванториум"","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ "ДЕТСКО-ЮНОШЕСКИЙ ЦЕНТР "ПРОМЕТЕЙ"","http://www.86prometey.edusite.ru/","IT-квантум  робоквантум  легоквантум","робототехника  информатика  изучение передовых технологий в области электроники  мехатроники и программирования  конструирование и программирование роботов  проектирование  изготовление и отлаживание электронных устройств  создание сложных устройств с использованием транзисторов и микроконтроллеров  ","Уральский","Ханты-Мансийский автономный округ-Югра","628260  Тюменская область  Ханты -Мансийский автономный округ -Югра  город Югорск  улица Менделеева  дом 30","Управление образования администрации города Югорска","Сердюк Любовь Викторовна","8 (34675) 7-79-60","prometei_ugr@mail.ru","Детский технопарк «Кванториум» в Югорске открылся 1 ноября 2016 года на базе Учебно-производственного центра компании «Газпром трансгаз Югорск»","1028601846008","8622000480","862201001"
"20","Детский технопарк "Кванториум"","АВТОНОМНОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ "РЕГИОНАЛЬНЫЙ МОЛОДЕЖНЫЙ ЦЕНТР"","http://kvantorium86.ru","автоквантум  космоквантум  датаквантум  IT-квантум  аэроквантум  нейроквантум  наноквантум  робоквантум","робототехника  информатика  изучение передовых технологий в области электроники  мехатроники и программирования  конструирование и программирование роботов  проектирование  изготовление и отлаживание электронных устройств  создание сложных устройств с использованием транзисторов и микроконтроллеров  геоинформатика  прикладная космонавтика и проектирование космических и летательных аппаратов  нейротехнологии  нанотехнологии","Уральский","Ханты-Мансийский автономный округ-Югра","628011  Ханты-Мансийский автономный округ – Югра   г. Ханты-Мансийск  ул. Студенческая  29","Департамент образования и молодежной политики Ханты-Мансийского автономного округа-Югры","Сакаро А.А.","8 (905)829 55 57","kvantorium86@gmail.com","","1088601001444","8601035637","860101001"
"21","АНО ДТ "КРАСНОЯРСКИЙ КВАНТОРИУМ"","Автономная некоммерческая организация "Красноярский детский технопарк "Кванториум"","http://kvantoriumkrsk.ru/#3","Робоквантум  аэроквантум  космоквантум  IT-квантум  наноквантум  энерджиквантум  промышленный дизайн  VR/AR квантум","робототехника  информатика  изучение передовых технологий в области электроники  мехатроники и программирования  конструирование и программирование роботов  проектирование  изготовление и отлаживание электронных устройств  создание сложных устройств с использованием транзисторов и микроконтроллеров  геоинформатика  прикладная космонавтика и проектирование космических и летательных аппаратов  нейротехнологии  нанотехнологии  альтернативная энергетика  дополненная и виртуальная реальность","Сибирский","Красноярский край","660041  Красноярский кр  город Красноярск  проспект Свободный  дом 75  ПОМЕЩЕНИЕ 10","АГЕНТСТВО НАУКИ И ИННОВАЦИОННОГО РАЗВИТИЯ КРАСНОЯРСКОГО КРАЯ  КРАСНОЯРСКИЙ РЕГИОНАЛЬНЫЙ ИННОВАЦИОННО-ТЕХНОЛОГИЧЕСКИЙ БИЗНЕС-ИНКУБАТОР","Кениг С. Р."," (391) 257-37-97","technopark24@bk.ru","","1172468010021","2463106512","246301001"
"22","Детский технопарк "Кванториум"","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ "ДЕТСКИЙ ТЕХНОПАРК "КВАНТОРИУМ"","http://kvantoriumtomsk.ru/","Аэроквантум  IT-квантум  геоквантум  VR/AR квантум  биоквантум  робоквантум  промышленный дизайн  космоквантум","робототехника  информатика  изучение передовых технологий в области электроники  мехатроники и программирования  конструирование и программирование роботов  проектирование  изготовление и отлаживание электронных устройств  создание сложных устройств с использованием транзисторов и микроконтроллеров  геоинформатика  прикладная космонавтика и проектирование космических и летательных аппаратов  нейротехнологии  нанотехнологии  альтернативная энергетика  дополненная и виртуальная реальность","Сибирский","Томская область","634028  г. Томск  пр. Ленина  26","ДЕПАРТАМЕНТ ОБЩЕГО ОБРАЗОВАНИЯ ТОМСКОЙ ОБЛАСТИ ","Дмитриев И.В.","(999) 495-53-70","tomkvantorium@gmail.com","В Томском технопарке на площади около 900 квадратных метров разместились учебные помещения квантумов  HiTech-цех и коворкинг-пространство. Образование в «Кванториуме» носит проектный характер с переходом от выполнения учебных кейсов к решению реальных производственных задач по заказу предприятий. Технопарк оснащен высокотехнологичным оборудованием от конструкторов по различным направлениям до профессионального оборудования: квадрокоптеров  3D-принтеров  фрезерных и лазерных станков  гидропонной установки и биогенетической лаборатории.","1167000050601","7017407566","701701001"
"23","Детский технопарк Алтайского края «Кванториум»","КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ "АЛТАЙСКИЙ КРАЕВОЙ ПЕДАГОГИЧЕСКИЙ ЛИЦЕЙ-ИНТЕРНАТ"","http://kvant22.ru/","аэроквантум  IT-квантум  геоквантум  VR/AR квантум  биоквантум  робоквантум  геоквантум  космоквантум  HI-TECH цех","робототехника  информатика  изучение передовых технологий в области электроники  мехатроники и программирования  конструирование и программирование роботов  проектирование  изготовление и отлаживание электронных устройств  создание сложных устройств с использованием транзисторов и микроконтроллеров  геоинформатика  прикладная космонавтика и проектирование космических и летательных аппаратов  нейротехнологии  нанотехнологии  альтернативная энергетика  дополненная и виртуальная реальность","Сибирский","Алтайский край","г. Барнаул  ул.Папаницев  113. ","МИНИСТЕРСТВО ОБРАЗОВАНИЯ И НАУКИ АЛТАЙСКОГО КРАЯ ","Муратов А. Ю.","8 (3852)22-63-14"," info@kvant22.ru","В команду детского технопарка Алтайского края входят педагоги и ученые Алтайского края  которые представляют организации высшего  основного и дополнительного образования. Все преподаватели успешно прошли повышение квалификации в г. Москва  сертифицированы федеральным оператором сети детских технопарков «Кванториум».","1022200907794","2221008178","222501001"
"24","МОУ ДО Детский технопарк «Кванториум» г. Комсомольска-на-Амуре»","МОУ ДО Детский технопарк «Кванториум» г. Комсомольска-на-Амуре» ","http://kvantorium-kms.ru/","робоквантум  аэроквантум  биоквантум  IT-квантум  наноквантум  наноквантум  космоквантум","робототехника  информатика  изучение передовых технологий в области электроники  мехатроники и программирования  конструирование и программирование роботов  проектирование  изготовление и отлаживание электронных устройств  создание сложных устройств с использованием транзисторов и микроконтроллеров  геоинформатика  прикладная космонавтика и проектирование космических и летательных аппаратов  нейротехнологии  нанотехнологии  альтернативная энергетика  дополненная и виртуальная реальность","Дальневосточный","Хабаровский край","681000  Хабаровский край  г. Комсомольск-на-Амуре  ул. Пионерская  15 — 1 корпус","АДМИНИСТРАЦИЯ ГОРОДА КОМСОМОЛЬСКА-НА-АМУРЕ","Чайка А. Н.","8 (4217) 59?07?16","","В «Кванториуме» юные комсомольчане будут обучаться по общеразвивающим программам с использованием новейшего инновационного оборудования. Как пояснили сотрудники Технопарка  вся техника — 3D-принтеры  фрезерные станки с ЧПУ  интерфейсы для нейропилотирования  разнообразные конструкторы и так далее — абсолютно новая. Детский Технопарк «Кванториум» в Комсомольске расположился в здании эколого-биологического Центра. ","1032700032661","2703007691","270301001"
"25","Республиканский детский технопарк Кванториум ","Республиканский детский технопарк Кванториум на базе Государственного бюджетного  учреждения дополнительного образования Республики Хакасия «Республиканский центр дополнительного образования»","http://rcdo19.ru/","Робоквантум  аэроквантум  автоквантум  IT-квантум  геоквантум  биоквантум  промышленный дизайн  VR/AR квантум  Hi-Tech","авиастроение беспилотных летательных аппаратов  программирование   мехатроника  электроника  альтернативная энергетика  дополненная и виртуальная реальность  программы компьютерного зрения  систем трекинга  3D моделирования  биотехнологии  методы цифровой обработки на 3D принтерах  станках с ЧПУ  физико-математические основы космонавтики  медиатехнологии ","Сибирский","Республика Хакасия","655002  Республика Хакасия  г. Абакан  ул. Саралинская  д. 26","МИНИСТЕРСТВО ОБРАЗОВАНИЯ И НАУКИ РХ","Жукова Г. П.","8 (3902) 202-901","rcdod@rambler.ru","В каждом подразделении дети занимаются своим видом деятельности. Так  в IT-квантуме программируют и учатся защищать данные в Интернете  в биоквантуме изучают микробиологию и биотехнологии  в аэроквантуме знакомятся с созданием беспилотных летательных аппаратов. Сама идея кванториумов в том  что дети  играя  изучают передовые технологии и учатся применять теоретические измышления на практике. При этом совсем не обязательно «прописываться» в одном квантуме. При желании  легко перейти в другой и в третий  выбрав то направление  которое больше всего увлекает. Конечно  дети не сами по себе будут изучать новую информацию  а под руководством опытных преподавателей ведущих вузов и видных экспертов в своей отрасли.","1021900521290","1901016632","190101001"
"26","Детский технопарк "Кванториум"","ГАУ ДО Дворец творчества и спорта «Пионер»","http://kvantorium-tyumen.ru/","Робоквантум  аэроквантум  автоквантум  IT-квантум  геоквантум  биоквантум  промышленный дизайн  нейроквантум","робототехника  информатика  изучение передовых технологий в области электроники  мехатроники и программирования  конструирование и программирование роботов  проектирование  изготовление и отлаживание электронных устройств  создание сложных устройств с использованием транзисторов и микроконтроллеров   нанотехнологии  дополненная и виртуальная реальность","Уральский","Тюменская область","г. Тюмень  ул. Геологоразведчиков  6 а","ДЕПАРТАМЕНТ ПО ОБЩЕСТВЕННЫМ СВЯЗЯМ  КОММУНИКАЦИЯМ И МОЛОДЕЖНОЙ ПОЛИТИКЕ ТЮМЕНСКОЙ ОБЛАСТИ "," Александр Руденко","8 (3452) 29-03-31","support@kvantorium-tyumen.ru","Открылся на базе Центра науки  экологии и техники дворца «Пионер». квота учащихся составит 800–1000 человек  набор начнется с 1 ноября 2017.","1077203065587","7204119286","720301001"
